constellation,mission_number,subscriber_scenario,subscribers,impact_category,total_emissions,oneweb_f9,oneweb_sz,total_climate_change,total_climate_change_wc,per_subscriber_emission,total_climate_emissions_kg,total_climate_emissions_wc_kg
Starlink,74,subscribers_low,2500000,total_global_warming_em,1656400113.8288612,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,662.5600455315445,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_low,500000,total_global_warming_em,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,2257.938307014501,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_low,1500000,total_global_warming_em,1758130843.4394474,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,1172.0872289596316,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_baseline,3500000,total_global_warming_em,1656400113.8288612,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,473.25717537967466,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_baseline,800000,total_global_warming_em,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1411.211441884063,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_baseline,2500000,total_global_warming_em,1758130843.4394474,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,703.252337375779,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_high,4500000,total_global_warming_em,1656400113.8288612,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,368.08891418419137,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_high,1000000,total_global_warming_em,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1128.9691535072504,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_high,3500000,total_global_warming_em,1758130843.4394474,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,502.3230981255564,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_low,2500000,total_ozone_depletion_em,506118.6976510039,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,662.5600455315445,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_low,500000,total_ozone_depletion_em,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,2257.938307014501,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_low,1500000,total_ozone_depletion_em,4683488.005659481,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,1172.0872289596316,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_baseline,3500000,total_ozone_depletion_em,506118.6976510039,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,473.25717537967466,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_baseline,800000,total_ozone_depletion_em,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1411.211441884063,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_baseline,2500000,total_ozone_depletion_em,4683488.005659481,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,703.252337375779,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_high,4500000,total_ozone_depletion_em,506118.6976510039,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,368.08891418419137,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_high,1000000,total_ozone_depletion_em,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1128.9691535072504,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_high,3500000,total_ozone_depletion_em,4683488.005659481,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,502.3230981255564,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_low,2500000,total_mineral_depletion,158636.61513094,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,662.5600455315445,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_low,500000,total_mineral_depletion,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,2257.938307014501,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_low,1500000,total_mineral_depletion,178934.367168216,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,1172.0872289596316,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_baseline,3500000,total_mineral_depletion,158636.61513094,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,473.25717537967466,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_baseline,800000,total_mineral_depletion,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1411.211441884063,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_baseline,2500000,total_mineral_depletion,178934.367168216,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,703.252337375779,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_high,4500000,total_mineral_depletion,158636.61513094,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,368.08891418419137,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_high,1000000,total_mineral_depletion,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1128.9691535072504,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_high,3500000,total_mineral_depletion,178934.367168216,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,502.3230981255564,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_low,2500000,total_freshwater_toxicity,7320644586.7001295,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,662.5600455315445,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_low,500000,total_freshwater_toxicity,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,2257.938307014501,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_low,1500000,total_freshwater_toxicity,9460767251.483332,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,1172.0872289596316,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_baseline,3500000,total_freshwater_toxicity,7320644586.7001295,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,473.25717537967466,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_baseline,800000,total_freshwater_toxicity,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1411.211441884063,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_baseline,2500000,total_freshwater_toxicity,9460767251.483332,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,703.252337375779,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_high,4500000,total_freshwater_toxicity,7320644586.7001295,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,368.08891418419137,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_high,1000000,total_freshwater_toxicity,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1128.9691535072504,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_high,3500000,total_freshwater_toxicity,9460767251.483332,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,502.3230981255564,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_low,2500000,total_human_toxicity,555.948960222608,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,662.5600455315445,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_low,500000,total_human_toxicity,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,2257.938307014501,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_low,1500000,total_human_toxicity,673.4067246044281,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,1172.0872289596316,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_baseline,3500000,total_human_toxicity,555.948960222608,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,473.25717537967466,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_baseline,800000,total_human_toxicity,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1411.211441884063,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_baseline,2500000,total_human_toxicity,673.4067246044281,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,703.252337375779,1758130843.4394474,7545609269.039447
Starlink,74,subscribers_high,4500000,total_human_toxicity,555.948960222608,637303.3152000001,291812.24960000004,22383785.32201164,49019485.126811646,368.08891418419137,1656400113.8288612,3627441899.384062
OneWeb,20,subscribers_high,1000000,total_human_toxicity,7671057.952000001,637303.3152000001,291812.24960000004,56448457.67536253,68191239.75576252,1128.9691535072504,1128969153.5072505,1363824795.1152503
Kuiper,54,subscribers_high,3500000,total_human_toxicity,673.4067246044281,637303.3152000001,291812.24960000004,32557978.58221199,139733504.98221198,502.3230981255564,1758130843.4394474,7545609269.039447
